"","Observation","Time","value","treated"
"1","Observation1",1,0.310703555634075,0
"2","Observation2",1,-0.164777310452394,0
"3","Observation3",1,-1.08230457323354,0
"4","Observation4",1,0.700523318444155,0
"5","Observation5",1,1.99583088666635,0
"6","Observation6",1,1.09671164544118,0
"7","Observation7",1,0.525642630903354,0
"8","Observation8",1,0.14343725329832,0
"9","Observation9",1,0.916282685751993,0
"10","Observation10",1,0.50133712308251,0
"11","Treated1",1,1.4348278858211,0
"12","Observation1",2,1.33954917814806,0
"13","Observation2",2,-0.123836356453941,0
"14","Observation3",2,-2.11378261118607,0
"15","Observation4",2,1.91858557146533,0
"16","Observation5",2,4.60872342145075,0
"17","Observation6",2,0.646083090678167,0
"18","Observation7",2,1.97934559290032,0
"19","Observation8",2,0.0985517039690375,0
"20","Observation9",2,1.06189706682529,0
"21","Observation10",2,-0.0497570958824431,0
"22","Treated1",2,1.45629875914287,0
"23","Observation1",3,1.28330673581712,0
"24","Observation2",3,0.0358923961662653,0
"25","Observation3",3,-3.37091477902692,0
"26","Observation4",3,1.84335576896591,0
"27","Observation5",3,4.63149454085085,0
"28","Observation6",3,0.202418319697871,0
"29","Observation7",3,0.429044353244303,0
"30","Observation8",3,1.47182178586263,0
"31","Observation9",3,1.83091561098356,0
"32","Observation10",3,-1.42686602572093,0
"33","Treated1",3,1.39047063817226,0
"34","Observation1",4,2.97169620505938,0
"35","Observation2",4,-0.756796938642647,0
"36","Observation3",4,-0.883250230410458,0
"37","Observation4",4,-0.277436881133967,0
"38","Observation5",4,2.08533816783895,0
"39","Observation6",4,-0.489417523874175,0
"40","Observation7",4,1.34886070572993,0
"41","Observation8",4,1.75060442717622,0
"42","Observation9",4,0.187998437832083,0
"43","Observation10",4,-1.52015374182122,0
"44","Treated1",4,0.831624179542823,0
"45","Observation1",5,1.69163599772129,0
"46","Observation2",5,-0.570173342434591,0
"47","Observation3",5,-1.12849282752694,0
"48","Observation4",5,-0.60187510701137,0
"49","Observation5",5,2.07522454794019,0
"50","Observation6",5,-0.601462726982619,0
"51","Observation7",5,1.19062012223953,0
"52","Observation8",5,2.28389158583111,0
"53","Observation9",5,-0.392919379448678,0
"54","Observation10",5,-1.55796899947931,0
"55","Treated1",5,0.594973891348661,0
"56","Observation1",6,2.38343263094712,0
"57","Observation2",6,-1.0163719234942,0
"58","Observation3",6,-1.70777430299125,0
"59","Observation4",6,-1.63377735759097,0
"60","Observation5",6,3.38526892429244,0
"61","Observation6",6,-0.447955440064922,0
"62","Observation7",6,1.59931991773459,0
"63","Observation8",6,2.69035336392181,0
"64","Observation9",6,-0.916874855330624,0
"65","Observation10",6,-1.38093768189728,0
"66","Treated1",6,0.374178972583898,0
"67","Observation1",7,3.46535983532114,0
"68","Observation2",7,-0.286109757653119,0
"69","Observation3",7,-3.44075978089269,0
"70","Observation4",7,-0.829603062962582,0
"71","Observation5",7,4.07105272155787,0
"72","Observation6",7,-0.414792320481302,0
"73","Observation7",7,1.70621145213064,0
"74","Observation8",7,3.81880509443028,0
"75","Observation9",7,-1.34481162804515,0
"76","Observation10",7,-1.24533036335653,0
"77","Treated1",7,1.78491338185246,0
"78","Observation1",8,2.88318176426684,0
"79","Observation2",8,1.90487364907363,0
"80","Observation3",8,-3.11122535981729,0
"81","Observation4",8,-0.979363809203427,0
"82","Observation5",8,4.12832965020162,0
"83","Observation6",8,-1.92955991194855,0
"84","Observation7",8,1.39518062278774,0
"85","Observation8",8,3.46997620716945,0
"86","Observation9",8,0.395717832748766,0
"87","Observation10",8,-1.62343156219987,0
"88","Treated1",8,1.24950051507276,1
"89","Observation1",9,2.26984933509764,0
"90","Observation2",9,2.92011307722145,0
"91","Observation3",9,-4.27810133896277,0
"92","Observation4",9,-0.494456446770032,0
"93","Observation5",9,5.00182530972356,0
"94","Observation6",9,-2.16581557115801,0
"95","Observation7",9,0.590622392215641,0
"96","Observation8",9,2.94715358404661,0
"97","Observation9",9,0.321891274658478,0
"98","Observation10",9,-1.42597830973023,0
"99","Treated1",9,1.74965126019279,1
"100","Observation1",10,3.64490699910878,0
"101","Observation2",10,2.27352080122252,0
"102","Observation3",10,-4.23549815864928,0
"103","Observation4",10,-0.566024251509553,0
"104","Observation5",10,6.24257220696804,0
"105","Observation6",10,-1.086258473867,0
"106","Observation7",10,1.03102414570655,0
"107","Observation8",10,2.69763857373531,0
"108","Observation9",10,-0.82048458542028,0
"109","Observation10",10,-2.75479948054347,0
"110","Treated1",10,0.957867854781524,1
