"","Observation","Time","value","treated"
"1","Observation1",1,-1.13146242243239,0
"2","Observation2",1,1.4975223605971,0
"3","Observation3",1,-0.221422073471642,0
"4","Observation4",1,-1.06295796870804,0
"5","Observation5",1,1.08629255592854,0
"6","Observation6",1,-0.103428423698312,0
"7","Observation7",1,-1.97330405102271,0
"8","Observation8",1,0.923093686402342,0
"9","Observation9",1,-0.325607827961628,0
"10","Observation10",1,-1.0342401348786,0
"11","Observation11",1,0.138272551312579,0
"12","Observation12",1,-0.179766792548022,0
"13","Observation13",1,-0.497167526211354,0
"14","Observation14",1,0.415794609370071,0
"15","Observation15",1,0.568459487281913,0
"16","Observation16",1,0.359522793701461,0
"17","Observation17",1,-8.69292360052107e-05,0
"18","Observation18",1,-0.586710227829579,0
"19","Observation19",1,-0.651620299386166,0
"20","Observation20",1,-1.19559796522715,0
"21","Observation21",1,1.34051041945486,0
"22","Observation22",1,1.27938931871703,0
"23","Observation23",1,0.483383472609081,0
"24","Observation24",1,0.520376181092475,0
"25","Observation25",1,-1.05290377515315,0
"26","Observation26",1,-0.605271262065749,0
"27","Observation27",1,1.10560712849905,0
"28","Observation28",1,-1.15972512890627,0
"29","Observation29",1,-0.342511002953944,0
"30","Observation30",1,0.855155595351311,0
"31","Observation31",1,2.05126970675215,0
"32","Observation32",1,-0.260612595846185,0
"33","Observation33",1,0.443909393391895,0
"34","Observation34",1,-1.16078414254416,0
"35","Observation35",1,-1.13834280328013,0
"36","Observation36",1,1.39320628855321,0
"37","Observation37",1,1.53773189815939,0
"38","Observation38",1,-0.22040178865647,0
"39","Observation39",1,1.71117221567431,0
"40","Observation40",1,-0.224346294166052,0
"41","Observation41",1,-1.38844111080659,0
"42","Observation42",1,-1.71499623162045,0
"43","Observation43",1,0.520739757058833,0
"44","Observation44",1,0.0270952479401853,0
"45","Observation45",1,-0.743569868906947,0
"46","Observation46",1,0.789326796803424,0
"47","Observation47",1,0.251739027571283,0
"48","Observation48",1,-0.978348555990533,0
"49","Observation49",1,-0.130782329281806,0
"50","Observation50",1,0.544366932863827,0
"51","Treated1",1,-1.06746434053082,0
"52","Observation1",2,-0.471578754787858,0
"53","Observation2",2,1.59563138561314,0
