"","Observation","Time","value","treated"
"1","Observation1",1,0.00548968724557262,0
"2","Observation2",1,-1.48517201298817,0
"3","Observation3",1,-0.200451294458605,0
"4","Observation4",1,-0.936537433380165,0
"5","Observation5",1,0.850331654476776,0
"6","Observation6",1,-0.679998086705716,0
"7","Observation7",1,-0.558915396783291,0
"8","Observation8",1,-0.544708972268245,0
"9","Observation9",1,-0.914521083885417,0
"10","Treated1",1,-0.259349060231005,0
"11","Observation1",2,-2.14194804604869,0
"12","Observation2",2,-0.0537891020460462,0
"13","Observation3",2,-0.656503926045915,0
"14","Observation4",2,-2.29713051775507,0
"15","Observation5",2,2.24795464738692,0
"16","Observation6",2,-0.413095510074526,0
"17","Observation7",2,-1.36433232580672,0
"18","Observation8",2,-1.68552515470124,0
"19","Observation9",2,-1.65305486718098,0
"20","Treated1",2,0.567395046562126,0
"21","Observation1",3,-3.44342069098357,0
"22","Observation2",3,-0.446560221161965,0
"23","Observation3",3,-0.0184799547607271,0
"24","Observation4",3,-3.99916697659726,0
"25","Observation5",3,1.20185400998302,0
"26","Observation6",3,1.42100755890064,0
"27","Observation7",3,-1.97076709517282,0
"28","Observation8",3,-1.17187759945336,0
"29","Observation9",3,-1.20945319151437,0
"30","Treated1",3,1.70203024758446,0
"31","Observation1",4,-2.97993733481763,0
"32","Observation2",4,-0.651133528355499,0
"33","Observation3",4,-0.568517220853491,0
"34","Observation4",4,-3.59860267778304,0
"35","Observation5",4,1.99715210187825,0
"36","Observation6",4,1.51825357427952,0
"37","Observation7",4,-2.48669330116158,0
"38","Observation8",4,-2.71035716106079,0
"39","Observation9",4,-2.59772426284036,0
"40","Treated1",4,4.11126154480031,0
"41","Observation1",5,-3.78123995076082,0
"42","Observation2",5,0.606800439608563,0
"43","Observation3",5,-1.07571184805716,0
"44","Observation4",5,-3.02111413178831,0
"45","Observation5",5,3.73545103381669,0
"46","Observation6",5,0.983935160936991,0
"47","Observation7",5,-3.41365745278633,0
"48","Observation8",5,-2.12365509294453,0
"49","Observation9",5,-3.22201929265265,0
"50","Treated1",5,4.72132751093359,1
"51","Observation1",6,-3.99613192051507,0
"52","Observation2",6,1.01281638427334,0
"53","Observation3",6,-1.75015394098814,0
"54","Observation4",6,-1.05640761941452,0
"55","Observation5",6,2.74139479052767,0
"56","Observation6",6,1.29365169658815,0
"57","Observation7",6,-4.73057692968623,0
"58","Observation8",6,-3.2140976995329,0
"59","Observation9",6,-3.38512688910134,0
"60","Treated1",6,6.58803225642826,1
"61","Observation1",7,-4.26842606156512,0
"62","Observation2",7,1.30679376724004,0
"63","Observation3",7,-0.986292470844203,0
"64","Observation4",7,-1.45450169079242,0
"65","Observation5",7,2.2017988795746,0
"66","Observation6",7,-0.796941426446046,0
"67","Observation7",7,-4.08560167150871,0
"68","Observation8",7,-1.84105111411819,0
"69","Observation9",7,-3.87879624455184,0
"70","Treated1",7,6.33080259536629,1
"71","Observation1",8,-5.12152286762226,0
"72","Observation2",8,0.951231649939308,0
"73","Observation3",8,-1.25589577241827,0
"74","Observation4",8,0.0550059541612315,0
"75","Observation5",8,1.26819223858312,0
"76","Observation6",8,-2.10452500301365,0
"77","Observation7",8,-2.67736216657882,0
"78","Observation8",8,-3.53013468061122,0
"79","Observation9",8,-4.06097116324884,0
"80","Treated1",8,5.6981470648516,1
"81","Observation1",9,-6.63258487843834,0
"82","Observation2",9,2.640599923083,0
"83","Observation3",9,-1.8377738499429,0
"84","Observation4",9,0.474794936060586,0
"85","Observation5",9,3.21559275281645,0
"86","Observation6",9,-2.82946679641705,0
"87","Observation7",9,-1.7299297298471,0
"88","Observation8",9,-3.65559611095937,0
"89","Observation9",9,-4.79694734132759,0
"90","Treated1",9,5.1545339517214,1
"91","Observation1",10,-6.55114599417565,0
"92","Observation2",10,1.99423015485339,0
"93","Observation3",10,-2.66125304901354,0
"94","Observation4",10,-0.826401880498495,0
"95","Observation5",10,4.58050465573158,0
"96","Observation6",10,-3.42644145950591,0
"97","Observation7",10,-0.918515736193791,0
"98","Observation8",10,-2.92538992816951,0
"99","Observation9",10,-6.29082452788304,0
"100","Treated1",10,6.8738849492692,1
