"","N","SDiD","SC","TWFE"
"1",10,0.0413192987442017,0.0391985511779785,0.0108522820472717
"2",50,0.229849359989166,0.113217756748199,0.0113433384895325
"3",100,0.281772146224976,0.0235431170463562,0.0106648445129395
"4",250,0.390626194477081,0.0232628297805786,0.011282000541687
"5",500,0.56962281703949,0.0388869428634644,0.011500391960144
"6",1000,0.948888437747955,0.0779211068153381,0.0119941282272339
"7",2500,2.317361805439,0.194496936798096,0.0135743689537048
"8",5000,4.07043789625168,0.388793773651123,0.0163190865516663
"9",10000,8.4158531332016,0.896813161373138,0.0232623481750488
"10",25000,22.1677510666847,2.72327112913132,0.0452029061317444
